male,Pclass,Fare_fill,Age_fill,Miss,Mr,Mrs,UncommonFemale,UncommonMale,Q,S,SibSp,Parch,FamilySize
1,2,13.0,23.0,0,1,0,0,0,0,1,0,0,1
1,1,26.55,51.0,0,1,0,0,0,0,1,0,0,1
1,3,9.5,29.0,0,1,0,0,0,0,1,0,0,1
0,1,134.5,40.0,0,0,1,0,0,0,0,1,1,3
0,2,33.0,6.0,1,0,0,0,0,0,1,0,1,2
0,3,8.1375,21.824366197183103,1,0,0,0,0,1,0,0,0,1
1,3,8.6625,38.0,0,1,0,0,0,0,1,0,0,1
1,3,7.8958,32.25215146299484,0,1,0,0,0,0,1,0,0,1
0,3,24.15,30.0,0,0,1,0,0,0,1,1,1,3
1,3,7.75,70.5,0,1,0,0,0,1,0,0,0,1
1,3,7.775,29.0,0,1,0,0,0,0,1,0,0,1
1,3,14.4,34.0,0,1,0,0,0,0,1,1,1,3
1,3,7.05,24.0,0,1,0,0,0,0,1,0,0,1
1,2,26.0,32.0,0,1,0,0,0,0,1,1,0,2
0,2,12.65,28.0,0,0,1,0,0,0,1,0,0,1
1,1,79.2,46.0,0,1,0,0,0,0,0,0,0,1
1,3,8.05,45.0,0,1,0,0,0,0,1,0,0,1
1,3,7.25,32.25215146299484,0,1,0,0,0,0,1,0,0,1
0,3,9.825,20.0,1,0,0,0,0,0,1,1,0,2
1,1,26.55,45.0,0,1,0,0,0,0,1,0,0,1
1,3,7.75,51.0,0,1,0,0,0,0,1,0,0,1
1,1,263.0,19.0,0,1,0,0,0,0,1,3,2,6
1,1,31.0,40.0,0,1,0,0,0,0,0,0,0,1
1,3,16.1,32.25215146299484,0,1,0,0,0,0,1,1,0,2
0,2,12.0,17.0,1,0,0,0,0,0,0,0,0,1
1,3,7.775,33.0,0,1,0,0,0,0,1,0,0,1
0,3,9.5875,63.0,0,0,1,0,0,0,1,0,0,1
1,3,7.7958,21.0,0,1,0,0,0,0,1,0,0,1
0,3,14.4,28.0,0,0,1,0,0,0,1,1,1,3
0,3,14.4583,17.0,1,0,0,0,0,0,0,0,0,1
1,3,6.2375,61.0,0,1,0,0,0,0,1,0,0,1
1,1,35.5,56.0,0,0,0,0,1,0,0,0,0,1
1,2,13.0,18.0,0,1,0,0,0,0,1,0,0,1
1,3,7.775,19.0,0,1,0,0,0,0,1,0,0,1
1,3,7.2292,30.0,0,1,0,0,0,0,0,0,0,1
0,3,27.9,45.0,0,0,1,0,0,0,1,1,4,6
1,1,26.0,64.0,0,1,0,0,0,0,1,0,0,1
1,2,21.0,34.0,0,1,0,0,0,0,1,1,0,2
0,1,57.0,17.0,0,0,1,0,0,0,1,1,0,2
1,3,8.05,32.25215146299484,0,1,0,0,0,0,1,0,0,1
0,3,7.2292,36.91812865497076,0,0,1,0,0,0,0,0,0,1
0,3,7.75,21.0,1,0,0,0,0,1,0,0,0,1
1,2,39.0,1.0,0,0,0,0,0,0,1,2,1,4
1,1,52.0,32.25215146299484,0,1,0,0,0,0,1,0,0,1
0,3,69.55,21.824366197183103,1,0,0,0,0,0,1,8,2,11
1,3,7.75,32.25215146299484,0,1,0,0,0,1,0,0,0,1
0,3,14.5,47.0,0,0,1,0,0,0,1,1,0,2
1,3,8.05,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,3,8.05,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,3,14.4542,27.0,0,1,0,0,0,0,0,1,0,2
1,2,26.0,36.5,0,1,0,0,0,0,1,0,2,3
1,3,20.575,1.0,0,0,0,0,0,0,1,1,2,4
1,1,27.75,30.0,0,1,0,0,0,0,0,0,0,1
0,3,21.075,29.0,0,0,1,0,0,0,1,0,4,5
0,2,10.5,50.0,1,0,0,0,0,0,1,0,0,1
1,1,81.8583,4.0,0,0,0,0,0,0,1,0,2,3
1,3,8.05,18.0,0,1,0,0,0,0,1,0,0,1
1,1,66.6,29.0,0,1,0,0,0,0,1,1,0,2
0,3,7.75,21.824366197183103,1,0,0,0,0,1,0,0,0,1
0,2,13.0,34.0,1,0,0,0,0,0,1,0,0,1
1,3,7.8542,28.0,0,1,0,0,0,0,1,0,0,1
1,1,135.6333,22.0,0,1,0,0,0,0,0,0,0,1
0,1,164.8667,45.0,0,0,1,0,0,0,1,1,1,3
1,3,7.7958,28.0,0,1,0,0,0,0,1,0,0,1
1,3,9.35,22.0,0,1,0,0,0,0,1,0,0,1
0,1,120.0,36.0,0,0,1,0,0,0,1,1,2,4
0,3,12.2875,2.0,1,0,0,0,0,0,1,0,1,2
1,3,7.775,25.0,0,1,0,0,0,0,1,1,0,2
1,2,26.25,31.0,0,1,0,0,0,0,1,1,1,3
0,2,10.5,17.0,1,0,0,0,0,0,1,0,0,1
0,3,21.075,8.0,1,0,0,0,0,0,1,3,1,5
1,2,13.8625,32.25215146299484,0,1,0,0,0,0,0,0,0,1
0,2,13.0,18.0,1,0,0,0,0,0,1,0,2,3
1,3,7.75,32.25215146299484,0,1,0,0,0,1,0,0,0,1
1,2,26.0,27.0,0,1,0,0,0,0,1,0,0,1
1,3,15.55,36.0,0,1,0,0,0,0,1,1,0,2
1,2,13.0,50.0,0,1,0,0,0,0,1,0,0,1
1,3,20.2125,18.0,0,1,0,0,0,0,1,1,1,3
1,3,8.05,24.0,0,1,0,0,0,0,1,0,0,1
0,1,90.0,35.0,0,0,1,0,0,0,1,1,0,2
1,3,7.75,32.25215146299484,0,1,0,0,0,1,0,0,0,1
1,1,47.1,28.0,0,1,0,0,0,0,1,0,0,1
0,1,512.3292,35.0,1,0,0,0,0,0,0,0,0,1
1,3,15.9,9.0,0,0,0,0,0,0,1,1,1,3
1,3,7.7292,32.25215146299484,0,1,0,0,0,1,0,0,0,1
0,2,32.5,34.0,0,0,1,0,0,0,1,1,1,3
1,2,18.75,3.0,0,0,0,0,0,0,1,1,1,3
1,3,8.05,50.0,0,1,0,0,0,0,1,0,0,1
0,1,80.0,62.0,0,0,1,0,0,0,1,0,0,1
0,1,93.5,30.0,1,0,0,0,0,0,1,0,0,1
1,3,7.75,29.0,0,1,0,0,0,1,0,0,0,1
0,2,19.5,13.0,1,0,0,0,0,0,1,0,1,2
0,3,7.925,26.0,1,0,0,0,0,0,1,0,0,1
0,3,13.4167,4.0,1,0,0,0,0,0,0,0,1,2
0,1,146.5208,58.0,1,0,0,0,0,0,0,0,0,1
1,3,7.75,32.25215146299484,0,1,0,0,0,1,0,0,0,1
0,1,86.5,30.0,1,0,0,0,0,0,1,0,0,1
0,3,11.2417,14.0,1,0,0,0,0,0,0,1,0,2
1,2,10.5,24.0,0,1,0,0,0,0,1,0,0,1
1,3,7.2292,32.25215146299484,0,1,0,0,0,0,0,0,0,1
0,1,263.0,24.0,1,0,0,0,0,0,1,3,2,6
1,3,7.8958,19.0,0,1,0,0,0,0,1,0,0,1
0,2,39.0,40.0,0,0,1,0,0,0,1,1,1,3
1,3,7.775,31.0,0,1,0,0,0,0,1,0,0,1
1,3,39.6875,16.0,0,1,0,0,0,0,1,4,1,6
1,3,39.6875,2.0,0,0,0,0,0,0,1,4,1,6
1,1,27.7208,32.25215146299484,0,1,0,0,0,0,0,0,0,1
1,3,16.1,21.0,0,1,0,0,0,0,1,0,0,1
0,1,247.5208,50.0,0,0,1,0,0,0,0,0,1,2
1,3,15.5,40.0,0,1,0,0,0,1,0,1,1,3
1,3,7.8958,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,1,30.0,29.0,0,1,0,0,0,0,1,0,0,1
1,3,7.8542,20.0,0,1,0,0,0,0,1,0,0,1
1,3,9.225,20.0,0,1,0,0,0,0,1,0,0,1
0,3,7.2292,13.0,1,0,0,0,0,0,0,0,0,1
1,3,0.0,49.0,0,1,0,0,0,0,1,0,0,1
1,3,7.05,35.0,0,1,0,0,0,0,1,0,0,1
0,3,20.25,35.0,0,0,1,0,0,0,1,1,1,3
1,2,12.35,57.0,0,0,0,0,1,1,0,0,0,1
0,2,10.5,34.0,0,0,1,0,0,0,1,0,0,1
0,3,18.0,31.0,0,0,1,0,0,0,1,1,0,2
1,3,8.05,35.0,0,1,0,0,0,0,1,0,0,1
1,3,24.15,24.0,0,1,0,0,0,0,1,2,0,3
1,1,82.1708,28.0,0,1,0,0,0,0,0,1,0,2
1,3,8.6625,26.0,0,1,0,0,0,0,1,2,0,3
1,3,7.8542,32.0,0,1,0,0,0,0,1,0,0,1
1,3,7.2292,22.0,0,1,0,0,0,0,0,0,0,1
1,3,7.225,32.25215146299484,0,1,0,0,0,0,0,0,0,1
0,1,110.8833,21.824366197183103,1,0,0,0,0,0,0,0,0,1
0,3,14.4542,15.0,0,0,1,0,0,0,0,1,0,2
1,3,7.8958,33.0,0,1,0,0,0,0,0,0,0,1
1,3,21.6792,32.25215146299484,0,1,0,0,0,0,0,2,0,3
0,1,69.3,24.0,1,0,0,0,0,0,0,0,0,1
1,3,7.7958,27.0,0,1,0,0,0,0,1,0,0,1
0,2,16.0,55.0,0,0,1,0,0,0,1,0,0,1
1,1,227.525,32.25215146299484,0,1,0,0,0,0,0,0,0,1
0,1,49.5042,24.0,1,0,0,0,0,0,0,0,0,1
1,3,18.0,16.0,0,1,0,0,0,0,1,2,0,3
1,1,30.5,27.0,0,1,0,0,0,0,1,0,0,1
0,1,53.1,33.0,0,0,1,0,0,0,1,1,0,2
1,2,73.5,21.0,0,1,0,0,0,0,1,0,0,1
1,1,26.55,56.0,0,1,0,0,0,0,1,0,0,1
0,2,26.0,2.0,1,0,0,0,0,0,1,1,1,3
0,2,27.75,5.0,1,0,0,0,0,0,1,1,2,4
1,3,8.05,21.0,0,1,0,0,0,0,1,0,0,1
1,3,8.05,32.0,0,1,0,0,0,0,1,0,0,1
1,3,9.0,22.0,0,1,0,0,0,0,1,0,0,1
1,1,26.55,48.0,0,1,0,0,0,0,1,0,0,1
1,1,52.5542,37.0,0,1,0,0,0,0,1,1,1,3
0,3,31.3875,5.0,1,0,0,0,0,0,1,4,2,7
0,1,25.9292,48.0,0,0,1,0,0,0,1,0,0,1
1,1,83.475,45.0,0,1,0,0,0,0,1,1,0,2
1,2,13.0,30.0,0,1,0,0,0,0,1,0,0,1
0,3,14.4542,14.5,1,0,0,0,0,0,0,1,0,2
0,2,13.7917,23.0,0,0,1,0,0,0,0,0,0,1
1,3,9.8458,20.0,0,1,0,0,0,0,1,0,0,1
1,3,31.275,4.0,0,0,0,0,0,0,1,4,2,7
1,1,263.0,64.0,0,1,0,0,0,0,1,1,4,6
1,2,10.5,31.0,0,1,0,0,0,0,1,0,0,1
1,2,26.25,43.0,0,1,0,0,0,0,1,1,1,3
0,3,7.925,27.0,1,0,0,0,0,0,1,0,0,1
0,3,9.8375,22.0,1,0,0,0,0,0,1,0,0,1
1,3,7.2292,15.0,0,1,0,0,0,0,0,1,1,3
1,1,27.7208,32.25215146299484,0,1,0,0,0,0,0,0,0,1
0,3,15.7417,1.0,1,0,0,0,0,0,0,0,2,3
1,3,34.375,16.0,0,1,0,0,0,0,1,1,3,5
0,3,7.75,21.824366197183103,1,0,0,0,0,1,0,0,0,1
1,3,7.55,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,3,20.25,16.0,0,1,0,0,0,0,1,1,1,3
1,3,7.25,22.0,0,1,0,0,0,0,1,0,0,1
1,3,7.725,32.25215146299484,0,1,0,0,0,1,0,0,0,1
1,1,35.5,45.0,0,1,0,0,0,0,1,0,0,1
1,3,25.4667,5.482641509433964,0,0,0,0,0,0,1,3,1,5
0,2,26.0,29.0,0,0,1,0,0,0,1,1,0,2
1,2,21.0,29.0,0,1,0,0,0,0,1,1,0,2
1,3,15.85,32.0,0,1,0,0,0,0,1,1,0,2
